oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag,dist,angle,GroupID,GroupSize
1809211300073368,5.0351388,59.3173317,1809,11,3,zr,6,6,6,6,21.548,0.134,2.19927E-6,1.226959,0.3194667,21.48763,0.1624775,21.14422,0.1963302,20.58974,83.358431,305.502064,474,3
1809211300077090,5.041067,59.3207917,1809,11,3,zr,19,19,22,22,20.006,0.101,2.371496E-6,2.828892,0.2492534,20.009,0.1588249,19.68966,0.08323888,18.90275,83.360351,316.892752,,
1809111300037507,5.0732939,59.2807351,1809,11,3,zg,0,0,0,0,22.473,0.194,6.932578E-310,,0.0,0.0,0.0,0.0,,0.0,83.387506,178.465959,,
806303100095401,5.0957452,59.3236589,806,3,1,zi,1,0,2,1,21.028,0.117,0.0,0.0,,20.38592,0.0,20.38592,0.1480352,20.38592,83.397972,31.411399,,
806303100095690,5.11542,59.3108242,806,3,1,zi,4,3,4,3,21.204,0.133,2.539968E-6,0.3415272,0.08341712,20.91617,0.03662682,20.8457,0.1590003,20.71622,83.460423,72.577734,476,2
1809211300076933,5.1154671,59.3107553,1809,11,3,zr,0,0,0,0,22.177,0.187,0.0,,0.0,0.0,0.0,0.0,,0.0,83.469311,72.757968,476,2
806203100066773,5.0290079,59.3112933,806,3,1,zr,4,4,4,4,22.111,0.233,4.342383E-6,0.8002951,0.2356811,21.87095,0.1206417,21.51539,0.2234968,21.30689,83.51379,288.628927,477,2
806303100062245,5.117416,59.3022464,806,3,1,zi,2,1,2,1,21.681,0.194,1.368817E-6,0.0,0.3780458,21.3958,0.0,21.12848,0.17817,20.86116,83.527826,94.042639,,
806303100073316,5.0871358,59.3257884,806,3,1,zi,0,0,0,0,21.969,0.273,0.0,,0.0,0.0,0.0,0.0,,0.0,83.545808,19.327472,478,2
806103100047211,5.1157253,59.2973991,806,3,1,zg,1,1,1,1,22.644,0.294,0.0,0.0,,21.52654,0.0,21.52654,0.1946301,21.52654,83.550724,106.22218,,
806303100082233,5.1121929,59.3148278,806,3,1,zi,0,0,0,0,22.348,0.249,0.0,,0.0,0.0,0.0,0.0,,0.0,83.564117,61.870016,,
1809211300070240,5.1171494,59.3005011,1809,11,3,zr,3,3,3,3,21.96,0.12,2.3719E-6,0.0,0.04448724,21.11579,0.0,21.0879,0.1920961,21.02867,83.723809,98.359464,472,3
806103100040176,5.1034982,59.3207397,806,3,1,zg,0,0,0,0,22.597,0.22,0.0,,0.0,0.0,0.0,0.0,,0.0,83.735304,43.566477,,
1809211300073463,5.0916831,59.2828772,1809,11,3,zr,1,1,1,1,22.04,0.161,0.0,0.0,,21.23844,0.0,21.23844,0.2034146,21.23844,83.791209,154.51917,,
1809211300076901,5.0828076,59.2812539,1809,11,3,zr,5,5,5,5,20.623,0.134,2.340265E-6,0.6982509,0.08866742,20.7097,0.07217598,20.57125,0.1532516,20.49907,83.842335,166.390971,,
806303100088454,5.1138921,59.3132275,806,3,1,zi,2,2,2,2,21.758,0.195,2.230169E-6,0.0,0.08310819,21.20984,0.0,21.15108,0.179702,21.09231,83.861344,66.351308,,
806103100042683,5.0278891,59.309747,806,3,1,zg,0,0,1,1,22.752,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.1969358,0.0,83.897377,284.574714,479,4
1809211300076060,5.0869203,59.3259311,1809,11,3,zr,0,0,0,0,22.814,0.324,0.0,,0.0,0.0,0.0,0.0,,0.0,83.901226,18.956264,478,2
806303100088587,5.1172395,59.3004746,806,3,1,zi,8,7,9,8,21.2,0.147,2.731109E-6,1.966908,0.2515187,21.18316,0.2292051,20.94291,0.1727684,20.54248,83.901594,98.407397,472,3
1809211300073454,5.1013838,59.2860129,1809,11,3,zr,1,1,1,1,22.038,0.162,0.0,0.0,,21.45951,0.0,21.45951,0.2200358,21.45951,83.925882,140.058192,,
1809211300066654,5.027803,59.3096904,1809,11,3,zr,5,5,5,5,21.513,0.108,2.383213E-6,2.053038,0.2635759,21.32947,0.2603626,21.0337,0.1880207,20.7214,83.999706,284.413095,479,4
1809111300037462,5.1032404,59.2868216,1809,11,3,zg,0,0,0,0,22.592,0.277,0.0,,0.0,0.0,0.0,0.0,,0.0,84.003266,136.996744,,
1809111300042750,5.0753129,59.2805832,1809,11,3,zg,1,1,1,1,22.273,0.149,0.0,0.0,,21.48885,0.0,21.48885,0.219539,21.48885,84.114709,175.946896,,
806303100093072,5.1167844,59.3090188,806,3,1,zi,4,4,4,4,21.658,0.199,1.653611E-6,0.2280685,0.1839941,21.3296,0.029109,21.2916,0.1892282,20.93952,84.198432,77.313581,,
1809211300075552,5.1001012,59.2853811,1809,11,3,zr,29,29,29,29,20.699,0.071,1.438106E-6,0.6556149,0.1220435,20.72853,0.06612396,20.52178,0.149532,20.17143,84.22048,142.282183,480,2
1809111300052444,5.0905006,59.2824662,1809,11,3,zg,0,0,0,0,21.955,0.119,0.0,,0.0,0.0,0.0,0.0,,0.0,84.232263,156.287592,,
1809211300073452,5.1028517,59.2865455,1809,11,3,zr,1,1,1,1,22.022,0.207,0.0,0.0,,21.12752,0.0,21.12752,0.1950747,21.12752,84.251826,137.813159,,
806303100082724,5.0999664,59.2853144,806,3,1,zi,34,30,38,33,19.972,0.11,6.194495E-7,1.475172,0.1063071,19.88669,0.06768703,19.50758,0.06802785,19.2632,84.259628,142.515387,480,2
1809211300066619,5.0321234,59.315385,1809,11,3,zr,1,1,1,1,21.901,0.168,0.0,0.0,,21.69305,0.0,21.69305,0.2375941,21.69305,84.277012,299.425059,481,3
806103100042631,5.0551716,59.3256544,806,3,1,zg,47,46,51,50,21.881,0.124,2.16001E-6,1.556946,0.3037871,21.94197,0.1986866,21.43766,0.1891991,20.31045,84.284898,338.380922,482,5
1809211300042150,5.0550429,59.3256349,1809,11,3,zr,61,61,63,63,20.209,0.048,7.769773E-7,1.155446,0.1570224,20.63666,0.09799194,20.26143,0.1257375,19.92322,84.307142,338.214012,482,5
806203100066719,5.1160206,59.2971443,806,3,1,zr,22,21,23,22,22.212,0.278,2.85112E-6,1.413551,0.2346328,21.68302,0.1913118,21.2199,0.200657,20.7958,84.331785,106.717212,483,2
806303100073945,5.0335345,59.2911683,806,3,1,zi,0,0,0,0,22.013,0.258,0.0,,0.0,0.0,0.0,0.0,,0.0,84.363457,237.137565,,
806303100088322,5.0550096,59.3256477,806,3,1,zi,40,36,43,38,19.683,0.041,5.124577E-7,1.009866,0.08315364,19.82438,0.05183506,19.66054,0.07609984,19.48289,84.372648,338.187072,482,5
